medicaid,YEAR,category,pct,se,variable,n_unweighted,suppress_n,suppress
No,2019,No,92.31,0.22,Delayed Care Due to Cost,32872,FALSE,FALSE
Yes,2019,No,94.72,0.35,Delayed Care Due to Cost,5215,FALSE,FALSE
No,2020,No,93.55,0.19,Delayed Care Due to Cost,31019,FALSE,FALSE
Yes,2020,No,95.92,0.36,Delayed Care Due to Cost,3918,FALSE,FALSE
No,2021,No,93.69,0.18,Delayed Care Due to Cost,30259,FALSE,FALSE
Yes,2021,No,96.89,0.28,Delayed Care Due to Cost,4978,FALSE,FALSE
No,2022,No,93.91,0.19,Delayed Care Due to Cost,28211,FALSE,FALSE
Yes,2022,No,96.16,0.31,Delayed Care Due to Cost,4686,FALSE,FALSE
No,2023,No,93.9,0.19,Delayed Care Due to Cost,29450,FALSE,FALSE
Yes,2023,No,95.43,0.34,Delayed Care Due to Cost,5341,FALSE,FALSE
No,2024,No,92.45,0.2,Delayed Care Due to Cost,32311,FALSE,FALSE
Yes,2024,No,95.78,0.35,Delayed Care Due to Cost,5552,FALSE,FALSE
No,2019,Yes,7.69,0.22,Delayed Care Due to Cost,2454,FALSE,FALSE
Yes,2019,Yes,5.28,0.35,Delayed Care Due to Cost,314,FALSE,FALSE
No,2020,Yes,6.45,0.19,Delayed Care Due to Cost,1898,FALSE,FALSE
Yes,2020,Yes,4.08,0.36,Delayed Care Due to Cost,215,FALSE,FALSE
No,2021,Yes,6.31,0.18,Delayed Care Due to Cost,1929,FALSE,FALSE
Yes,2021,Yes,3.11,0.28,Delayed Care Due to Cost,178,FALSE,FALSE
No,2022,Yes,6.09,0.19,Delayed Care Due to Cost,1634,FALSE,FALSE
Yes,2022,Yes,3.84,0.31,Delayed Care Due to Cost,208,FALSE,FALSE
No,2023,Yes,6.1,0.19,Delayed Care Due to Cost,1755,FALSE,FALSE
Yes,2023,Yes,4.57,0.34,Delayed Care Due to Cost,257,FALSE,FALSE
No,2024,Yes,7.55,0.2,Delayed Care Due to Cost,2418,FALSE,FALSE
Yes,2024,Yes,4.22,0.35,Delayed Care Due to Cost,264,FALSE,FALSE
No,2019,No,9.4,0.26,Usual Place for Care,2874,FALSE,FALSE
Yes,2019,No,4.95,0.39,Usual Place for Care,243,FALSE,FALSE
No,2020,No,8.79,0.27,Usual Place for Care,2361,FALSE,FALSE
Yes,2020,No,4.12,0.4,Usual Place for Care,163,FALSE,FALSE
No,2021,No,9.16,0.26,Usual Place for Care,2509,FALSE,FALSE
Yes,2021,No,5.17,0.41,Usual Place for Care,259,FALSE,FALSE
No,2022,No,9.47,0.29,Usual Place for Care,2440,FALSE,FALSE
Yes,2022,No,5.46,0.42,Usual Place for Care,251,FALSE,FALSE
No,2023,No,9.36,0.27,Usual Place for Care,2589,FALSE,FALSE
Yes,2023,No,6,0.44,Usual Place for Care,319,FALSE,FALSE
No,2024,No,8.73,0.25,Usual Place for Care,2664,FALSE,FALSE
Yes,2024,No,5.06,0.38,Usual Place for Care,281,FALSE,FALSE
No,2019,No one place,1.54,0.11,Usual Place for Care,507,FALSE,FALSE
Yes,2019,No one place,0.98,0.15,Usual Place for Care,61,FALSE,FALSE
No,2020,No one place,1.6,0.12,Usual Place for Care,514,FALSE,FALSE
Yes,2020,No one place,1.31,0.25,Usual Place for Care,55,FALSE,FALSE
No,2021,No one place,1.58,0.13,Usual Place for Care,485,FALSE,FALSE
Yes,2021,No one place,1.26,0.2,Usual Place for Care,65,FALSE,FALSE
No,2022,No one place,1.77,0.12,Usual Place for Care,525,FALSE,FALSE
Yes,2022,No one place,1.37,0.24,Usual Place for Care,69,FALSE,FALSE
No,2023,No one place,1.99,0.13,Usual Place for Care,615,FALSE,FALSE
Yes,2023,No one place,1.45,0.24,Usual Place for Care,79,FALSE,FALSE
No,2024,No one place,2.14,0.14,Usual Place for Care,712,FALSE,FALSE
Yes,2024,No one place,1.84,0.26,Usual Place for Care,112,FALSE,FALSE
No,2019,Yes,89.06,0.28,Usual Place for Care,31956,FALSE,FALSE
Yes,2019,Yes,94.07,0.41,Usual Place for Care,5228,FALSE,FALSE
No,2020,Yes,89.6,0.3,Usual Place for Care,30061,FALSE,FALSE
Yes,2020,Yes,94.57,0.49,Usual Place for Care,3919,FALSE,FALSE
No,2021,Yes,89.26,0.29,Usual Place for Care,29205,FALSE,FALSE
Yes,2021,Yes,93.57,0.46,Usual Place for Care,4835,FALSE,FALSE
No,2022,Yes,88.76,0.31,Usual Place for Care,26884,FALSE,FALSE
Yes,2022,Yes,93.16,0.48,Usual Place for Care,4579,FALSE,FALSE
No,2023,Yes,88.65,0.31,Usual Place for Care,28018,FALSE,FALSE
Yes,2023,Yes,92.55,0.51,Usual Place for Care,5202,FALSE,FALSE
No,2024,Yes,89.13,0.28,Usual Place for Care,31379,FALSE,FALSE
Yes,2024,Yes,93.1,0.46,Usual Place for Care,5426,FALSE,FALSE
